
     Clock     uop p0     uop p1     uop p2     uop p3 
      3258        677       1237        709        728 
      1848        653       1016        682        710 
      1854        630       1002        678        706 
      1836        630       1000        678        706 
      1842        651       1012        682        709 
      1848        630       1002        678        706 
      1848        630       1002        678        706 
      1848        652       1012        682        709 
