
     Clock     uop p4     uop p5     uop p6     uop p7 
      3276       1000        310       1027        558 
      1842       1000        378       1008        625 
      1836       1000        351       1003        619 
      1842       1000        347       1009        619 
      1836       1000        341       1008        621 
      1836       1000        379       1003        625 
      1842       1000        347       1005        619 
      1836       1000        337       1010        621 
