
     Clock     uop p0     uop p1     uop p2     uop p3 
       192          0         11          0          2 
        18          8          8          0          2 
        18          0          6         -1          0 
        18          6          5         -1          0 
         3          3          5         -1          0 
         3          2          7         -1          0 
         3          5         -3         -1          0 
         6         -1          8         -1          0 
