
     Clock     uop p4     uop p5     uop p6     uop p7 
       204          0          5          2          0 
         3          0          0          3          0 
         0          0          4         -1          0 
         3          0          0          1          2 
         0          0          0          3          2 
        18          0          2          0          2 
        18          0         -2          4          2 
        18          0          2          3          2 
