
     Clock     uop p0     uop p1     uop p2     uop p3 
      1764        707       1184        720        737 
      1140        638        993        678        707 
      1136        660       1003        682        710 
      1140        637        995        678        707 
      1140        637        995        678        707 
      1136        659       1005        682        710 
      1136        659        998        682        710 
      1140        637        995        678        707 
