
     Clock     uop p0     uop p1     uop p2     uop p3 
       858          3          6          1          1 
        18          0         10          1          0 
         3          4          5          0          0 
         0         -3          7          0          0 
         6          3         -1          0          0 
         3          0         -1          0          0 
         6          0          7          0          0 
         0          3         -3          0          0 
