
     Clock     uop p0     uop p1     uop p2     uop p3 
      3210        683       1224        716        727 
      1716        653       1019        682        711 
      1716        669       1005        683        710 
      1710        652       1013        682        710 
      1710        630       1003        678        707 
      1716        668       1004        683        709 
      1710        652       1013        682        710 
      1716        651       1013        682        710 
