
     Clock     uop p4     uop p5     uop p6     uop p7 
       294          0          5         16          0 
         0          0          8          4          0 
        -3          0          8          4          0 
        18          0          4          8          2 
        15          0          8          7          2 
         3          0          4          5          2 
         0          0          8          6          2 
         3          0          6          5          2 
