
     Clock     uop p0     uop p1     uop p2     uop p3 
       174          5         10          1          1 
         3          9          8          1          0 
         0          3         10          1          0 
         3          6         -1          0          0 
         3          3         -1          0          0 
         6          3          7          0          0 
         0          6         -3          0          0 
         3          0          8          0          0 
