
     Clock     uop p4     uop p5     uop p6     uop p7 
        30          0          1          0          2 
        -3          0          5          9          2 
         3          0          1          6          2 
        63          0          8         48          0 
        -3          0          2         19          2 
       -18          0          4         16          2 
       -15          0          0         20          2 
       -15          0          4         19          2 
