
     Clock     uop p0     uop p1     uop p2     uop p3 
      3447        667       1814        709        735 
      1047        640       1014        681        709 
      1038        655       1009        682        711 
      1044        640       1014        681        707 
      1032        639       1012        680        707 
      1053        654       1008        681        709 
      1050        653       1013        681        709 
      1032        639       1010        680        707 
