
     Clock     uop p0     uop p1     uop p2     uop p3 
       180          9          4          1          1 
         0         10          2          1          0 
         3          2          1          0          0 
         3          7         -6          0          0 
         0          1          2          0          0 
         3          7         -6          0          0 
         3          4         -6          0          0 
        21          4          2          0          0 
