
     Clock     uop p4     uop p5     uop p6     uop p7 
         3          0         15          0          0 
        12          0         10          6          2 
         3          0          3         12          2 
        -6          0          7         -2          2 
         0          0         11          3          2 
         6          0          4         13          2 
        -9          0          1         12          1 
       -12          0          8         11          3 
