
     Clock     uop p0     uop p1     uop p2     uop p3 
      3081        562       1972        690        711 
      1872        737       1034        709        713 
      1023        633        998        678        708 
      1026        661       1008        682        709 
      1026        635        997        678        707 
      1023        635       1002        678        707 
      1008        661       1006        682        709 
      1020        675        998        682        709 
