
     Clock     uop p0     uop p1     uop p2     uop p3 
      1828        666       1159        715        734 
      1376        654       1026        683        714 
      1362        651       1007        680        709 
      1332        668       1000        683        709 
      1378        605       1053        688        713 
      1332        655       1004        682        710 
      1332        668       1000        683        709 
      1336        626       1008        678        707 
