
     Clock     uop p0     uop p1     uop p2     uop p3 
      1846        680       1124        715        737 
      1332        659       1009        682        711 
      1332        662       1003        682        710 
      1332        636        993        678        707 
      1332        633       1002        678        707 
      1338        658       1007        682        710 
      1334        674        996        683        709 
      1328        674        994        683        709 
