
     Clock     uop p0     uop p1     uop p2     uop p3 
      2778        701       1157        722        733 
      1842        659       1009        682        710 
      1836        636       1001        678        707 
      1842        674       1002        683        709 
      1836        658       1011        682        710 
      1836        657       1011        682        710 
      1842        636       1001        678        707 
      1836        674       1000        683        709 
