
     Clock     uop p0     uop p1     uop p2     uop p3 
      2856        627       1152        707        731 
      1848        638       1001        678        708 
      1848        659       1012        682        710 
      1854        637       1002        678        707 
      1842        637       1002        678        707 
      1842        659       1012        682        710 
      1848        658       1012        682        710 
      1848        637       1002        678        707 
