
     Clock     uop p0     uop p1     uop p2     uop p3 
      2940        696       1175        715        734 
      1988        676        995        688        720 
      1856        657       1012        687        715 
      1814        659       1007        682        710 
      1808        675        996        683        709 
      1802        675        994        683        709 
      1808        659       1005        682        710 
      1814        637        995        678        707 
