
     Clock     uop p0     uop p1     uop p2     uop p3 
      1630        671       1166        716        735 
      1202        653       1016        682        711 
      1197        669       1003        683        709 
      1197        630       1000        678        707 
      1201        652       1012        682        710 
      1205        630       1002        678        707 
      1202        630       1002        678        707 
      1197        652       1012        682        710 
