
     Clock     uop p0     uop p1     uop p2     uop p3 
      2982        706       1163        719        730 
      2002        637       1003        678        708 
      1995        658       1012        682        710 
      1995        636       1002        678        707 
      2002        674       1003        683        709 
      1995        658       1012        682        710 
      2002        657       1012        682        710 
      2009        636       1002        678        707 
