
     Clock     uop p0     uop p1     uop p2     uop p3 
      1838        679       1152        717        735 
      1336        631       1004        678        708 
      1338        669       1003        683        710 
      1336        652       1013        682        710 
      1346        630       1003        678        707 
      1336        630       1003        678        707 
      1332        652       1013        682        710 
      1336        652       1006        682        710 
