
     Clock     uop p0     uop p1     uop p2     uop p3 
      1844        707       1146        712        738 
      1338        638       1001        678        708 
      1342        660       1010        682        710 
      1346        637       1002        678        707 
      1332        675       1001        683        709 
      1336        659       1012        682        710 
      1332        659       1007        682        710 
      1342        637       1002        678        707 
