
     Clock     uop p0     uop p1     uop p2     uop p3 
      3115        682       1194        715        732 
      2002        653       1019        682        711 
      2002        631       1003        678        707 
      1995        652       1013        682        710 
      2002        651       1013        682        710 
      2002        630       1003        678        707 
      2002        630       1001        678        707 
      1995        652       1013        682        710 
