
     Clock     uop p0     uop p1     uop p2     uop p3 
      1820        655       1140        717        736 
      1342        653       1013        682        710 
      1336        668       1004        683        709 
      1336        629       1008        678        707 
      1332        652       1013        682        710 
      1332        668       1004        683        709 
      1332        668       1002        683        709 
      1332        652       1013        682        710 
