
     Clock     uop p0     uop p1     uop p2     uop p3 
      1752        674       1159        714        735 
      1268        657       1014        682        711 
      1260        672       1001        683        709 
      1264        634        998        678        707 
      1272        655       1010        682        710 
      1276        634       1000        678        707 
      1272        634       1000        678        707 
      1260        656       1010        682        710 
