
     Clock     uop p0     uop p1     uop p2     uop p3 
      2460        702       1103        712        737 
      1842        632       1002        678        708 
      1842        656       1013        682        710 
      1842        634       1001        678        707 
      1836        634       1006        678        707 
      1842        656       1011        682        710 
      1842        672       1002        683        709 
      1836        672       1000        683        709 
