
     Clock     uop p0     uop p1     uop p2     uop p3 
      2564        674       1189        716        735 
      1605        657       1014        682        711 
      1610        635       1001        678        708 
      1600        635        998        678        707 
      1605        656       1010        682        710 
      1591        672       1001        683        709 
      1591        672        999        683        709 
      1600        656       1010        682        710 
