
     Clock     uop p4     uop p5     uop p6     uop p7 
       136          0          2          1          0 
         4          0         -3          1          0 
         4          0         -1         -1          3 
         4          0         -4         -4          3 
         2          0         -2         -3          3 
         4          0         -4         -3          3 
         4          0         -2         -4          3 
         2          0         -6         -5          3 
