
     Clock     uop p4     uop p5     uop p6     uop p7 
         4          0         14          6          1 
        20          1          2         17          3 
         4          0         15          5          2 
         4          0          2          0          1 
        26          0         12         20          0 
         4          0          8          4          3 
        12          0          5         13          3 
        16          0         -1         14          3 
