
     Clock     uop p4     uop p5     uop p6     uop p7 
         0          0          6          7          0 
         0          0          6          2          1 
         0          0          8         -1          1 
        14          0          3          2          1 
         0          0          7         -1          1 
         9          0          3          2          1 
         0          0          7          0          1 
         5          0          5         -1          1 
