
     Clock     uop p4     uop p5     uop p6     uop p7 
       184          0         13         14          0 
         0          0         14         15          0 
         0          0         12         12          3 
         2          0          7          9          3 
        -2          0          9         11          3 
         2          0          7         10          3 
         2          0         11         10          3 
         4          0          7         10          3 
