
     Clock     uop p4     uop p5     uop p6     uop p7 
       144          0          6         13          0 
         0          0          7         13          0 
         0          0          9         11          3 
         0          0         11         11          3 
         0          0          7          7          3 
         0          0          7          7          3 
         0          0         10          9          3 
         0          0          3          7          3 
