
     Clock     uop p4     uop p5     uop p6     uop p7 
         0          0          3         16          0 
         2          0         10          7          0 
         2          0          4          7          3 
         2          0          1          4          3 
         0          0          3          4          3 
         2          0          7          3          3 
         2          0          9          6          3 
         0          0         10          6          3 
