
     Clock     uop p4     uop p5     uop p6     uop p7 
       190          0         15         12          0 
         0          0         16          8          0 
         2          0         14          9          3 
         0          0         10          5          3 
         2          0          9          6          3 
         2          0          8          6          3 
         0          0         11          7          3 
         0          0         13          7          3 
