
     Clock     uop p4     uop p5     uop p6     uop p7 
         0          0          8         11          0 
         2          0         10         11          0 
         0          0          7          8          3 
         2          0         10          4          3 
         0          0         10          4          3 
         0          0         10          5          3 
         2          0         10          5          3 
         2          0         13          7          3 
