
     Clock     uop p4     uop p5     uop p6     uop p7 
       -14          0          2         27          0 
         6          0          9         32          0 
         8          0         12         29          3 
        10          0          4         35          0 
         2          0          3         36          0 
         2          0         -5         39          0 
         2          0         -2         30          0 
       224          1         14         43          3 
