
     Clock     uop p4     uop p5     uop p6     uop p7 
        96          0          4          2          0 
         2          0          6          2          0 
         0          0          4         -1          3 
         0          0         -2         -5          3 
         0          0          2         -4          3 
         2          0         -1         -5          3 
         0          0         -1         -5          3 
         2          0          2         -3          3 
