
     Clock     uop p4     uop p5     uop p6     uop p7 
         4          0          0         10          0 
         8          0          1          0          3 
         4          0         -1          0          3 
         8          0         -2          0          3 
         8          0         -1          0          3 
        10          0         -3         -1          3 
         8          0         -1          0          3 
        12          0         -3         -1          3 
