
     Clock     uop p4     uop p5     uop p6     uop p7 
       146          0          8          7          0 
         0          0          7          7          0 
        -2          0          6          5          3 
         0          0         12          3          3 
         0          0          4          2          3 
        -2          0          9          1          3 
        -2          0          5          1          3 
         0          0          5          1          3 
