
     Clock     uop p4     uop p5     uop p6     uop p7 
       208          0         20         29          0 
         2          0          3         11          0 
         2          0          0          8          3 
         0          0          0          8          3 
         2          0          1          5          3 
         2          0         -2          6          3 
         0          0          4          6          3 
         0          0         -2          6          3 
