
     Clock     uop p4     uop p5     uop p6     uop p7 
        24          0         34         62          2 
        24          0         11         73          2 
        24          0          1         98          0 
        12          0          3        119          1 
        30          0         -4        125          3 
        54          0         33         49          2 
        36          0         24         62          0 
        30          0         27         79          0 
