
     Clock     uop p4     uop p5     uop p6     uop p7 
        66          0          4         10          0 
         2          0         12         13          0 
        -2          0          5          9          3 
         0          0          4          6          3 
        -2          0          3          6          3 
         0          0          8          6          3 
         0          0          3          6          3 
        -2          0          8          6          3 
