
     Clock     uop p4     uop p5     uop p6     uop p7 
         2          0         14          8          0 
         0          0         17         10          0 
         2          0         14          8          3 
         2          0         12          4          3 
         2          0         14          4          3 
         2          0         11          4          3 
         4          0         11          4          3 
         0          0         11          4          3 
