
     Clock     uop p4     uop p5     uop p6     uop p7 
        86          0          6         10          0 
         0          0         13         13          0 
         0          0          7          9          3 
         2          0          6          9          3 
         2          0          8          7          3 
         2          0         10          8          3 
         2          0          8          8          3 
         2          0         10          7          3 
