
     Clock     uop p0     uop p1     uop p2     uop p3 
        80          9         -3          0          0 
         2          7          9          0          1 
         2          9         -1          0         -2 
         0          8          5          0         -3 
         0          8         -2          0         -3 
         2          8          0          0         -3 
         0          7          1          0         -3 
         0          7          5          0         -3 
