
     Clock     uop p0     uop p1     uop p2     uop p3 
        68         10          2          0          4 
        -2          8          4          0          3 
         0         10         -2          0          1 
         0         11          0          0          1 
        -2          9          3          0         -1 
        -2         11         -3          0          0 
         0          9          2          0         -1 
         0          9          3          0         -1 
