
     Clock     uop p0     uop p1     uop p2     uop p3 
         2          7          7          1          1 
         2          6          2          0         -3 
         0          6          1          0         -3 
         2          8          1          0         -3 
         2          9         -1          0         -3 
         0          7          6          0         -4 
         0          6          4          0         -4 
         0          8          1          0         -3 
