
     Clock     uop p0     uop p1     uop p2     uop p3 
         2          9          5          0          1 
         6          9          1          0         -1 
         6          7          4          0         -3 
         4          9          1          0         -2 
        10          7          4          0         -3 
         4          9          1          0         -2 
         6          7          4          0         -3 
        -2          9          1          0         -2 
