
     Clock     uop p0     uop p1     uop p2     uop p3 
         2         15         19          0          1 
        38         13          3          6          0 
        28          7         11          2         -2 
        26         14          7          4         -4 
         4          6         21         -1          2 
        14         25          6          4         -5 
        20          9         -1          4         -1 
        20          8         14          1          0 
