
     Clock     uop p0     uop p1     uop p2     uop p3 
        78         12         12          0          3 
         4         14          4          0          3 
         4         12          8          0         -1 
         2         14          2          0          0 
         4         15          2          0          0 
         4         15          2          0          0 
         4         12          7          0         -1 
         2         14          2          0          0 
