
     Clock     uop p0     uop p1     uop p2     uop p3 
       148         10          0          0          4 
         2         10         -1          0          4 
         2         10          6          0          0 
         2          7          4          0         -1 
         0          9         -1          0          0 
         2          7          4          0         -1 
         2          6          2          0         -1 
         0          6          3          0         -1 
