
     Clock     uop p0     uop p1     uop p2     uop p3 
        92         14          0          0          0 
         0         13          9          0          1 
         0         12          3          0         -2 
         0         12          3          0         -3 
         0         13          7          0         -3 
         0         12          3          0         -3 
        -2         12          7          0         -3 
         0         28         21          2          0 
