
     Clock     uop p0     uop p1     uop p2     uop p3 
       234          8          1          0          1 
         0          7          1          0          0 
         2          7          6          0         -2 
         2          8          4          0         -2 
         0          8          4          0         -2 
         0          8          2          0         -3 
         2          8          3          0         -3 
         2          8          4          0         -3 
