
     Clock     uop p0     uop p1     uop p2     uop p3 
         0          6          7          0          2 
         0          4          8          0          1 
         0          4          9          0          1 
         0          5         -3          0          1 
        -4         -2          7          0          0 
         4          4         -3          0          0 
         4         -2          6          0          0 
         4          4         -2          0          0 
