
     Clock     uop p0     uop p1     uop p2     uop p3 
        68         10          7          0          2 
         2         12          8          0          3 
         0         12          4          0          0 
         2         10          7          0         -2 
         0         11          9          0         -2 
         2         10          4          0         -2 
         2         11          9          0         -2 
         2         10          4          0         -2 
