
     Clock     uop p0     uop p1     uop p2     uop p3 
        34         10          2          0          0 
         0          9          3          0          0 
         2         10          4          0         -3 
         4         10         -2         -1         -3 
         2          9         -4         -1         -3 
         4         10         -2         -1         -3 
         2          9         -4         -1         -3 
         2         10         -2         -1         -3 
