
     Clock     uop p0     uop p1     uop p2     uop p3 
        88         12          8          0          0 
         0         13          3          0          2 
         0         12          7          0         -2 
         2         15          2          0         -2 
         2         12          7          0         -3 
         2         12          7          0         -3 
         2         14          2          0         -2 
         0         15          2          0         -2 
