
     Clock     uop p0     uop p1     uop p2     uop p3 
         0          4          4          0          2 
         0         10          2          0          1 
         9          5         -2          0          0 
        14          4          0          0          0 
        -5          7        -10          0          0 
         0          1          1          0          0 
         4          7         -9          0          0 
        -5          1          0          0          0 
