
     Clock     uop p0     uop p1     uop p2     uop p3 
       156         12         11          1          1 
         2         14          1          1          1 
         0         13          5          0         -2 
         2         15          2         -1         -2 
         0         12          5          0         -2 
         0         11          6          0         -2 
         0         13          7          0         -2 
         4         15          2          0         -2 
