
     Clock     uop p0     uop p1     uop p2     uop p3 
       174          5          8          0          3 
         0          6          8          0          3 
        15          6          9          0          3 
        -3          6         -4          0          2 
         0          0          6          0          0 
         0          6         -2          0          0 
        15          0          6          0          0 
        18          6         -2          0          0 
