
     Clock     uop p0     uop p1     uop p2     uop p3 
       174         15          7          0          1 
        -4         15          7          0          1 
        -2         14          9          0         -2 
        -2         12          4          0         -3 
         0         11          4          0         -3 
         0         14          3          0         -2 
        -2         14          0          0         -2 
        -2         12          5          0         -3 
