
     Clock     uop p0     uop p1     uop p2     uop p3 
       168         14          6          2          2 
         2         12          5          2          2 
         0         13          8          2         -1 
         2         13          8          1         -1 
         0         12          5          1         -1 
         2         11          6          1         -1 
         0         13          7          1         -1 
         2         13          8          1         -1 
