
     Clock     uop p0     uop p1     uop p2     uop p3 
         4         13          0          1          2 
         2         14          1          1          2 
         4         11          5          1         -1 
         4         11          5          1         -1 
         4         10          5          0         -1 
         2         11          4          0         -1 
         2         12          5          0         -1 
         4         12          6          0         -1 
